Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
1067.50283031,1069.04264865,1054.50980774,1063.45379126,1043.24466127,1458645.21331,2018,5,1
1069.91167488,1075.67876352,1058.32802246,1064.33998592,1049.64969665,1456646.30033,2018,5,2
1066.95061154,1076.30934128,1052.74116213,1063.55624638,1047.740242,1456646.83374,2018,5,3
1066.00669204,1071.80113031,1059.99206783,1066.58111248,1047.83141034,1454954.41806,2018,5,4
1063.92272453,1074.63337022,1060.5460395,1071.32484991,1048.24652541,1524129.32178,2018,5,5
1064.55761212,1072.28600182,1053.14627687,1066.91502281,1051.42799313,1451565.49182,2018,5,6
1067.06410699,1074.4716749,1055.56458389,1067.84051265,1048.27694698,1500030.49067,2018,5,7
1067.43624348,1075.01401829,1058.13640384,1070.07213513,1049.94842337,1462675.47987,2018,5,8
1068.10016932,1070.22581362,1053.18264703,1065.94305653,1048.08711495,1454953.81438,2018,5,9
1067.82277222,1075.25677177,1060.51970128,1067.03698015,1046.08435212,1476720.61648,2018,5,10
1068.45977434,1075.27725575,1058.16466839,1065.30490697,1045.69384432,1448978.59903,2018,5,11
1063.31436454,1078.27548213,1053.47512785,1068.08806423,1048.32744591,1467635.69276,2018,5,12
1064.67925352,1073.28497537,1057.07027778,1063.54180396,1046.73424842,1500768.83765,2018,5,13
1067.69271262,1075.22238521,1057.10190786,1065.20248476,1048.38043951,1463261.01929,2018,5,14
1067.94141323,1074.79504572,1060.27210068,1066.90385591,1046.2153364,1454238.95968,2018,5,15
1068.94990361,1077.35289771,1059.06818265,1056.39982867,1049.19129321,1460301.64151,2018,5,16
1059.49787968,1075.00911312,1051.61919211,1066.05530856,1047.8604939,1444028.91956,2018,5,17
1067.46815626,1071.73260654,1056.87521196,1066.32415319,1050.68550594,1465066.23707,2018,5,18
1068.81457537,1075.17750314,1059.12355114,1063.50427395,1048.67390599,1460979.73255,2018,5,19
1068.12399377,1069.0270345,1059.50729781,1065.48620181,1047.95791704,1438429.43388,2018,5,20
1066.84392637,1074.21762964,1056.17471466,1066.00114503,1051.19186161,1471981.67016,2018,5,21
1067.51326854,1075.09184743,1051.61351551,1068.5995555,1052.80799737,1469880.57786,2018,5,22
1065.16290533,1076.807261,1060.06731702,1064.49209303,1049.30201514,1463261.11645,2018,5,23
1063.89878351,1070.02230278,1053.44040135,1066.97245807,1048.9228115,1490704.71574,2018,5,24
1066.63639049,1075.38329264,1054.63431137,1063.80552284,1047.53435664,1463263.44868,2018,5,25
1070.31305775,1075.51287364,1056.53404837,1070.9915278,1047.83410867,1476724.36809,2018,5,26
1067.46370178,1071.75336712,1057.64500578,1063.39538033,1042.42445034,1465600.18433,2018,5,27
1062.63877796,1078.62448173,1055.01723888,1060.1397193,1048.18369996,1476724.45482,2018,5,28
1065.23673425,1078.59990709,1058.35000156,1062.9007715,1046.69045936,1485421.02845,2018,5,29
1064.96538316,1070.34949087,1056.15265056,1067.28840683,1046.8853873,1463263.91513,2018,5,30
