Date,Open,High,Low,Close,Adj Close,Volume
4/4/2013,736.25,737.286987,718.013,720.013,553.244873,3749980
4/5/2013,719.75,724.75,712.5,716.463013,550.517151,2186480
4/8/2013,712.5,718.411987,706.812012,707.974976,543.995117,1858180
4/9/2013,708.388,709.737,689.062012,691.588013,531.403687,5420328
4/10/2013,700.75,706.950012,694.062012,703.911987,540.87323,3275808
4/11/2013,716.625,733.900024,708.724976,729.174988,560.284912,8509336
4/12/2013,656.263,656.263,567.174988,574.161987,441.175629,49013872
4/15/2013,572.5,589.25,551,584.763,449.321259,33279988
4/16/2013,579.75,581.5,571.75,574.062012,441.098846,7150868
4/17/2013,575,577.987,562.5,570.963013,438.717651,7574572
4/18/2013,571.599976,580.75,570.325012,573.924988,440.993561,6612184
4/22/2013,573.924988,573.924988,555.888,561.138,431.168304,7700644
4/23/2013,562.5,567.650024,561.099976,565.562012,434.567505,3934980
4/25/2013,565.562012,565.562012,555.786987,556.924988,427.93103,6881172
4/26/2013,555.025024,559.450012,550.625,553,424.915131,5564792
4/29/2013,551.5,562.200012,546.5,557.325012,428.238434,4482840
4/30/2013,558.5,560.588013,555.549988,558.862,429.419434,4420360
5/2/2013,558.862,572.862,558.862,571.674988,439.264709,4688092
5/3/2013,574.187988,581,569.549988,576.987,443.346344,4558596
5/6/2013,578.75,586.25,578.75,585.275024,449.714691,3000052
5/7/2013,587.5,588.75,581.187988,587.200012,451.193878,3491552
5/8/2013,591.25,595,584.513,587.661987,451.548798,3639176
5/9/2013,587.974976,592.224976,587.5,590.349976,453.614227,2280712
5/10/2013,590.525024,596.25,589.275024,592.888,455.564392,2267020
5/13/2013,588.75,590.536987,582.575012,584.900024,449.426544,2507480
5/14/2013,584.325012,592.700012,584.325012,587.513,451.434357,2242224
5/15/2013,588.25,593.174988,586.849976,590.112,453.431305,4446588
5/16/2013,588.375,589.950012,578.312012,583.150024,448.081909,3495876
5/17/2013,584.224976,592.25,583.75,587.937988,451.760956,3215876
5/20/2013,586.5,595.75,586,593.013,455.660461,4379144
5/21/2013,592.549988,604.263,591.737,599.400024,460.568085,2830064
5/22/2013,600,608.25,594.562012,596.325012,458.205322,3122836
5/23/2013,594,604.812012,589.036987,589.963013,453.316925,2550292
5/24/2013,590.400024,596.25,583.5,586.974976,451.020874,1844324
5/27/2013,585.299988,596.5,582.575012,593.174988,455.784851,1662584
5/28/2013,592.5,595,588.411987,591.549988,454.536255,2117476
5/29/2013,592.5,597.75,583.25,588.099976,451.885376,2583264
5/30/2013,583.375,587.161987,579.125,585.362,471.424927,3169316
5/31/2013,585.5,608.724976,585.5,602.924988,485.569397,9249152
6/3/2013,631.25,656.25,618.786987,628.525024,506.186523,16607624
6/4/2013,622.5,629.862,615.900024,623.974976,502.522156,5857280
6/5/2013,620,622.549988,613.75,615.312012,495.545258,2539392
6/6/2013,612.5,613.661987,603.974976,607.411987,489.183014,3754616
6/7/2013,606.25,618.224976,605,611.700012,492.636475,3309084
6/10/2013,615,624.5,614.299988,621.687988,500.680237,2144520
6/11/2013,622.5,628.625,616.463013,618.875,498.414764,2978852
6/12/2013,615.562012,626.599976,603.213013,605.338013,487.512695,2963644
6/13/2013,606,606.25,593.75,594.974976,479.166779,2077164
6/14/2013,597.924988,602.25,594.286987,598.737,482.196533,2792032
6/17/2013,602.862,606.5,598.713013,605.650024,487.763977,1360252
6/18/2013,607.5,615,606.174988,611.638,492.586487,2142452
6/19/2013,611.5,612.174988,601.825012,609.588013,490.935455,2918416
6/20/2013,607,612,585.687988,592.275024,476.992401,3401464
6/21/2013,592.650024,608,592.650024,604.687988,486.989105,3080684
6/24/2013,600.625,600.812012,587.974976,595.099976,479.267426,3668276
6/25/2013,595,596.713013,586.25,593.474976,477.95874,2895320
6/26/2013,597.900024,603.650024,592.911987,599.849976,483.092957,2783616
6/27/2013,605.25,624.987,603.150024,620.700012,499.884552,5335472
6/28/2013,617.799988,626.937988,606,624.713013,503.116547,5853696
7/1/2013,617.25,618.375,610.275024,612.75,493.482086,2104540
7/2/2013,612.025024,615.888,600,600.987,484.008606,2555416
7/3/2013,600.25,612.974976,598.150024,601.125,484.11972,2674928
7/4/2013,608.25,618.786987,605,617,496.904755,2605392
7/5/2013,616.75,620.888,609.674988,614.049988,494.528931,2168680
7/8/2013,621.25,623.5,615.125,617.036987,496.934631,2707584
7/9/2013,620.25,628.5,620.25,624.549988,502.985229,4305684
7/10/2013,626.25,630,623.25,625.286987,503.578735,3432708
7/11/2013,633.75,640.862,627.437988,632.088013,509.056,7852480
7/12/2013,695.286987,726.400024,687.5,701.049988,564.594971,26436520
7/15/2013,696.263,697.5,682.075012,685.674988,552.212585,6437120
7/16/2013,675.513,692.650024,670.263,682.200012,549.414001,3150768
7/17/2013,682.911987,689.588013,682.911987,687.713013,553.854004,3287524
7/18/2013,688.5,704.375,684.713013,700.187988,563.900757,6539348
7/19/2013,700.75,716.25,700.75,711.862,573.302429,8201420
7/22/2013,705.549988,723.724976,705.5,719.187988,579.202454,3375568
7/23/2013,722.5,729.286987,722.5,725.487,584.275513,3084240
7/24/2013,720,731.75,720,727.150024,585.614685,2437640
7/25/2013,727.25,736.338013,725.25,728.825012,586.963745,3588844
7/26/2013,732.5,738.25,725.650024,728.325012,586.561035,3449820
7/29/2013,727.5,736,727.5,730.299988,588.151672,2181476
7/30/2013,732.75,743.25,732.75,738.924988,595.097839,3168104
7/31/2013,742.25,747.900024,732.049988,742.411987,597.906067,5903664
