Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
254.285404747,255.312088947,249.650509367,252.020180661,243.226853908,14976229.1437,2018,5,1
254.481771878,256.161897948,248.517637857,252.803315851,244.065263135,15138199.1834,2018,5,2
255.05331983,256.598704778,250.057081995,252.700620657,245.969418037,15117198.5961,2018,5,3
255.328076449,259.295878815,248.13312131,253.048834254,244.226114768,15149736.1634,2018,5,4
256.112337033,256.669086073,251.772872174,253.485628425,243.975086059,15046408.1505,2018,5,5
255.576522274,259.041588588,251.997199224,251.285489969,244.86940325,15115028.919,2018,5,6
252.585350196,256.834321561,250.744987107,254.571753794,245.285030394,14899979.821,2018,5,7
252.490473549,258.04512914,250.313192812,253.796606598,245.603384338,14898194.7644,2018,5,8
254.574229718,257.300312252,251.04134334,252.284054217,243.638610232,14892042.3617,2018,5,9
251.269592514,257.306317707,251.547222895,253.2695258,244.226705986,14951904.2284,2018,5,10
253.271682036,256.34516073,251.376586428,249.359143151,244.724955487,15063846.5653,2018,5,11
251.98899071,258.485727384,251.349778275,254.612859873,245.342485997,15117946.6993,2018,5,12
254.549978427,257.295335964,251.613383243,255.473681929,245.320415923,15078000.2443,2018,5,13
253.904581042,258.718346494,249.990631844,253.400945258,246.317435526,15094606.0718,2018,5,14
255.11424058,259.987674543,250.560555967,255.351078363,246.163973367,15170006.0494,2018,5,15
252.135943078,257.507080729,252.887235353,254.810126713,247.147605711,14905488.8204,2018,5,16
252.669817366,259.386202066,250.297667156,252.840628985,244.387670347,14917724.827,2018,5,17
252.265861654,258.933513255,252.432509952,254.364341206,248.001803401,15078001.4351,2018,5,18
251.502365288,256.771142909,249.665635453,253.539513517,244.218841616,15138196.2394,2018,5,19
253.110243293,257.365485467,248.437449784,255.627260799,245.299705966,14951906.1803,2018,5,20
253.088913987,255.74959819,251.966698077,252.640866787,242.488375641,15077999.7491,2018,5,21
255.068283829,256.554728948,248.035465518,250.445504056,243.982011121,15131185.1509,2018,5,22
253.605529186,256.137883578,251.283094066,253.779911956,244.11883265,14817361.6973,2018,5,23
252.716340892,256.651282155,248.622007919,252.565405558,244.138434432,15055423.4146,2018,5,24
251.777209484,255.375231798,248.573093112,253.00013839,244.286382938,14892043.3573,2018,5,25
251.62447931,255.500100492,247.437515534,253.196001598,244.293291234,14923634.9676,2018,5,26
253.700906463,256.039807084,250.008520949,252.677166792,242.162647741,14923633.8464,2018,5,27
253.600587356,257.770781261,252.042644281,253.82846615,244.576570386,15046406.888,2018,5,28
252.920424382,256.080306061,251.089338129,254.607518383,244.04560266,15149733.6011,2018,5,29
254.965930977,258.049002369,253.149906499,253.999549673,246.013931241,14951906.3566,2018,5,30
