Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
824.340196413,833.935334115,809.496051472,823.020123936,786.3692975,1700287.28099,2018,5,1
823.404004451,832.558015874,812.364192812,822.1268723,787.201844373,1670511.16805,2018,5,2
825.779767146,831.336828792,812.7434794,826.666442779,789.308296593,1675669.08946,2018,5,3
824.325288057,838.08663876,812.344821668,825.040589932,790.53477294,1670510.96863,2018,5,4
824.288014173,834.054174458,813.732401985,827.317134094,791.661001834,1664624.08776,2018,5,5
825.452130039,831.767569835,814.652461981,824.75703249,790.577400671,1660065.14698,2018,5,6
825.684592642,832.704178159,815.771479021,824.261152699,788.497396068,1647039.05742,2018,5,7
826.692079713,835.319832058,813.645089863,821.098833194,789.257066757,1678790.21573,2018,5,8
824.703892858,833.270014437,816.080712736,824.121235127,787.897204544,1661140.53082,2018,5,9
822.240622602,833.014802976,812.220839318,827.18242914,788.162235701,1661778.55894,2018,5,10
824.593265445,834.39734624,813.639691948,825.85535999,787.632960808,1664621.17321,2018,5,11
824.467558495,834.05556605,815.734775832,823.719070381,791.602306061,1670511.61272,2018,5,12
825.189768401,833.143010116,812.715011,823.2725578,791.638791212,1676771.86785,2018,5,13
825.175965503,833.070001914,811.606307078,822.436763203,788.348406867,1672472.11857,2018,5,14
825.589066663,836.335174237,814.608504143,822.829113624,790.855292721,1676774.57435,2018,5,15
825.554690016,833.123171031,814.750553166,824.828689853,786.940738978,1649639.49286,2018,5,16
822.051593257,833.60439136,814.241544373,823.518531498,789.99382006,1674086.96477,2018,5,17
823.072914179,833.486421424,812.428069461,825.601212816,789.330996898,1673371.3967,2018,5,18
824.581598507,832.411679017,815.569351267,823.380199564,787.983213066,1687588.65754,2018,5,19
821.988464802,834.830514294,812.737375615,820.828268149,792.846727017,1676495.71616,2018,5,20
822.159694257,831.472695869,811.034319842,824.567441875,786.680620384,1648973.03804,2018,5,21
826.126054,834.516765915,814.662103297,824.000154483,791.815639478,1689751.20595,2018,5,22
825.571574701,832.047109797,813.032439277,822.811062257,788.852573465,1682020.4139,2018,5,23
825.038574136,834.858716983,812.80065574,825.55308764,789.067735948,1675979.87351,2018,5,24
828.601496149,832.888915713,812.742873373,822.838065508,787.701360086,1653536.23998,2018,5,25
826.074669019,832.226775469,811.508613705,820.529068986,788.799406626,1673314.33273,2018,5,26
824.222403989,833.037303745,810.702947406,825.83627697,787.83913497,1675978.1571,2018,5,27
822.623249763,831.397500607,809.022752518,822.02431261,788.740574826,1661780.11125,2018,5,28
822.055409392,834.028352839,813.820454094,823.574910248,785.195219892,1674958.14437,2018,5,29
822.754831083,832.284792881,812.772795694,822.00404695,786.444827645,1657437.86153,2018,5,30
