Date,Open,High,Low,Close,Adj Close,Volume
4/4/2013,244,248.225006,240.662994,244.25,217.47995,3446784
4/5/2013,245.725006,245.725006,239.274994,240.462006,214.107101,1188644
4/8/2013,241.449997,247.850006,240.875,245.988007,219.027451,1787424
4/9/2013,248.037994,248.462006,240.811996,241.787994,215.287781,1417476
4/10/2013,244.024994,251.25,242.011993,249.636993,222.276535,1055748
4/11/2013,251.25,252.5,245.561996,249.175003,221.865173,892204
4/12/2013,242.5,247.125,238.287994,245,218.14772,1530756
4/15/2013,243.5,245.688004,241.25,242.488007,215.911072,766528
4/16/2013,242.25,245,240.25,243.162994,216.51207,776852
4/17/2013,244.449997,245.725006,238,238.800003,212.627274,830496
4/18/2013,238.761993,238.761993,234.125,237.574997,211.53653,726348
4/22/2013,237.574997,240.75,231.311996,232.725006,207.218094,1118852
4/23/2013,232.175003,237.375,226.699997,231.024994,205.704422,1360908
4/25/2013,231.024994,233.475006,228.863007,231.886993,206.471954,2447340
4/26/2013,232.25,236.625,230.25,231.574997,206.194122,1232772
4/29/2013,232.675003,238.5,231.011993,236.449997,210.534836,854772
4/30/2013,236.25,240.938004,232.050003,238.311996,212.192749,1217432
5/2/2013,238.311996,244.75,238.311996,241.412994,214.953873,1134208
5/3/2013,241.625,248.449997,239.524994,246.662994,219.628479,1447848
5/6/2013,247.475006,253.199997,246.662994,250.412994,222.967468,2079144
5/7/2013,251.712006,254.5,249.837006,251.386993,223.834717,844288
5/8/2013,252,253.688004,244.5,245.949997,218.993637,1211580
5/9/2013,245.949997,247.811996,244.537994,245.850006,218.904602,758536
5/10/2013,246.25,247.475006,242,244.011993,217.268021,566044
5/13/2013,249.488007,250.912994,237.587006,238.712006,212.54892,989880
5/14/2013,239.25,243.5,237.886993,239.613007,213.351166,1013372
5/15/2013,240.561996,241.988007,235.375,238.5,212.360153,2196868
5/16/2013,238,240,234.386993,235.574997,209.755722,1301320
5/17/2013,237.5,238.75,230.287994,231.962006,206.538727,1635352
5/20/2013,232.925003,234,229.5,230.524994,205.259201,1694632
5/21/2013,231.274994,233.725006,223.761993,227.462006,202.531937,5450172
5/22/2013,240.5,244.863007,233.324997,235.824997,209.978317,10670120
5/23/2013,236.738007,240.199997,234.425003,238.125,212.026245,2547880
5/24/2013,239.675003,241.212006,236.337006,237.863007,211.792969,893304
5/27/2013,237.75,239.787994,236.25,238.412994,212.282669,872084
5/28/2013,239.25,246.75,238.037994,245.899994,218.949097,2392500
5/29/2013,246.75,249.375,243.074997,245.837006,218.893021,1390380
5/30/2013,244.25,248.5,243.524994,244.699997,217.88063,1574152
5/31/2013,244.75,246.75,240.274994,241.875,215.36525,478088
6/3/2013,240.625,243.75,231.311996,235.061996,209.298965,1137708
6/4/2013,235.25,237.5,235,235.625,209.800262,2076636
6/5/2013,234.625,237.375,228.024994,229.399994,204.257523,2322816
6/6/2013,227.75,235.725006,227.274994,231.25,205.904755,2205108
6/7/2013,232.625,237.863007,232.25,234.238007,208.565262,1684840
6/10/2013,237.225006,237.5,233.274994,235.087006,209.321213,1997832
6/11/2013,234.75,244.425003,230.875,242,215.476547,3673796
6/12/2013,244.449997,248,240.75,244.699997,217.88063,3230292
6/13/2013,242.738007,244.25,237.811996,242.912994,216.289474,1603524
6/14/2013,245.261993,247.25,240.550003,241.438004,214.976135,1402700
6/17/2013,241.375,243.662994,237.75,242.850006,216.233398,701076
6/18/2013,241.75,246.175003,241.75,244.462006,217.668701,914452
6/19/2013,244.5,255.425003,243.988007,253.074997,225.337738,2670276
6/20/2013,253.25,256.862,245.149994,246.087006,219.115601,3189196
6/21/2013,246.024994,252.475006,245.274994,248.875,221.598038,2749988
6/24/2013,246,253.363007,246,250.5,223.044937,3723316
6/25/2013,253.488007,256.100006,250.811996,252.462006,224.791916,3499744
6/26/2013,253.75,262.225006,253.75,259.700012,231.236618,4262064
6/27/2013,262.987,274.5,260.062012,270.200012,240.585815,4884608
6/28/2013,273.75,273.75,262.524994,264.950012,235.911224,2368636
7/1/2013,264,267.350006,256.375,258.612,230.267853,2511240
7/2/2013,259.75,260.562012,244.074997,250.550003,223.089447,6041132
7/3/2013,252.136993,256.75,241.25,249.774994,222.399384,7461580
7/4/2013,256.5,259.25,252.975006,257.862,229.600052,4093568
7/5/2013,264.375,264.375,257.950012,259.662994,231.203674,2688100
7/8/2013,258,262.687988,254,261.424988,232.772537,1445516
7/9/2013,262,264.5,258.912994,260.674988,232.104752,1433184
7/10/2013,261.5,272.875,260.674988,269.812012,240.240311,3622536
7/11/2013,271.5,272.062012,263.787994,266.612,237.391037,3318772
7/12/2013,268.75,281.962006,268,280.475006,249.734665,13563240
7/15/2013,280.524994,283.062012,275.487,277.975006,247.508652,4288428
7/16/2013,273,277.475006,270.5,273.100006,243.167984,2340128
7/17/2013,272.5,282.475006,270.587006,273.600006,243.613144,3903792
7/18/2013,275.924988,279.075012,270.537994,272.825012,242.923111,3634500
7/19/2013,278.375,285.362,275.700012,283.075012,252.049683,7496204
7/22/2013,283,296.162994,282.5,292.924988,260.820129,6764312
7/23/2013,295,298.5,290.125,294.787994,262.478943,5640780
7/24/2013,293.487,305.375,292.513,301.912994,268.823029,6371408
7/25/2013,300.787994,304.75,292.325012,294.924988,262.600861,9851600
7/26/2013,295.700012,306.399994,295.25,304.437988,271.071259,4271748
