Date,Open,High,Low,Close,Adj Close,Volume
7/10/2013,253.800003,256.299988,249.970001,251.350006,232.026749,5341890
7/11/2013,256.200012,259.980011,255.449997,257.549988,237.750061,4593290
7/12/2013,259.200012,259.700012,254.199997,258.309998,238.45166,5287195
7/15/2013,258.399994,262.98999,256.48999,261.779999,241.654892,5449990
7/16/2013,254,254,245.210007,246.169998,227.244949,9493130
7/17/2013,247.190002,247.199997,235.529999,238.740005,220.386169,17944220
7/18/2013,241.350006,249.520004,231.619995,247.639999,228.601944,28548405
7/19/2013,250,250.600006,237,238.380005,220.053833,18642230
7/22/2013,238.800003,242.160004,235.690002,240.020004,221.567764,6446280
7/23/2013,243.960007,243.960007,239.410004,240.570007,222.07547,5451370
7/24/2013,234.570007,234.570007,224,225.029999,207.730148,14788645
7/25/2013,222.809998,228.960007,222.399994,225.449997,208.117859,21479325
7/26/2013,228.380005,229.369995,218.869995,221.5,204.471542,12108980
7/29/2013,220.419998,224.169998,218.490005,219.649994,202.763748,8592030
7/30/2013,220.020004,226.520004,217.399994,218.600006,201.794479,14577145
7/31/2013,217.800003,217.800003,203.110001,206.910004,191.003189,24999165
8/1/2013,208.800003,218.580002,205.020004,217.160004,200.465195,25717725
8/2/2013,218.410004,222.5,216,220.639999,203.677643,15682345
8/5/2013,222,225.800003,214.729996,224.869995,207.582443,14983120
8/6/2013,221.460007,222,216.050003,217.970001,201.212906,13055665
8/7/2013,217.619995,218.479996,211.160004,213.75,197.317352,16176110
8/8/2013,214.800003,217.960007,211.419998,217.119995,200.428268,10922345
8/12/2013,217.119995,219.979996,210.229996,214.089996,197.63121,9866865
8/13/2013,213.380005,231.800003,209.820007,228.550003,210.979553,14227315
8/14/2013,229.509995,232.5,224.300003,229.919998,212.244217,12402745
8/16/2013,229.919998,229.919998,208,209.789993,193.661774,16207615
8/19/2013,208,208,195.610001,197.600006,182.40892,11262170
8/20/2013,190.669998,201.449997,188.600006,196.259995,181.171936,17173380
8/21/2013,207.600006,213.559998,191.740005,195.589996,180.553421,17473350
8/22/2013,193.630005,202,190,193.929993,179.021057,15688855
8/23/2013,195.699997,198.169998,190.649994,196.300003,181.208862,15303680
8/26/2013,198,198.869995,185.869995,186.820007,172.457672,19895135
8/27/2013,183.990005,183.990005,174.199997,175.529999,162.035614,16500450
8/28/2013,170.270004,170.800003,156.800003,167.589996,154.706009,51153445
8/29/2013,172,173.5,163.199997,170.149994,157.069229,34666870
8/30/2013,169.619995,178.220001,163.729996,166.589996,153.782898,85220080
9/2/2013,169.139999,174.699997,166.929993,172.860001,159.570877,22843345
9/3/2013,173.600006,174.850006,154.270004,156.570007,144.533203,29590015
9/4/2013,156.559998,163.399994,152.679993,160.300003,147.976471,29505260
9/5/2013,176.330002,186.990005,170.729996,185.5,171.239136,73632590
9/6/2013,186.520004,192.589996,182.110001,190.479996,175.836288,48465115
9/10/2013,190.479996,205.139999,190.479996,199.660004,184.310547,40783530
9/11/2013,196.800003,208.570007,194.039993,205.940002,190.107758,31007555
9/12/2013,207.970001,208.100006,200.820007,203.990005,188.307678,33403740
9/13/2013,200.050003,214.600006,200.050003,211.919998,195.628021,29836370
9/16/2013,217.800003,221.539993,210.389999,217.509995,200.788269,21660575
9/17/2013,214.399994,215.789993,208.639999,210.710007,194.511063,18527690
9/18/2013,212.100006,217.119995,209.539993,215.919998,199.320511,13218535
9/19/2013,230,234.559998,226.649994,228.039993,210.508743,27187920
9/20/2013,232.399994,232.740005,210.419998,220.470001,203.520706,30107545
9/23/2013,214.600006,216.979996,204.529999,206.009995,190.172363,23254975
9/24/2013,204,210.600006,202.619995,205.110001,189.341568,17824475
9/25/2013,205.600006,208.399994,200.240005,206.809998,190.910873,17426325
9/26/2013,207,209.899994,203.889999,206.270004,190.412399,18419130
9/27/2013,207.110001,209.699997,203.429993,206.179993,190.3293,13399860
9/30/2013,203.809998,203.970001,199.029999,201.570007,186.073715,18720980
10/1/2013,203.580002,209.940002,202.589996,208.820007,192.766342,13985425
10/3/2013,208.820007,224.600006,208.820007,220.940002,203.95459,28307155
10/4/2013,218.800003,224.139999,216.020004,218.509995,201.711395,14738720
10/7/2013,217.399994,217.779999,208.800003,214.369995,197.889664,19601900
10/8/2013,223,223.800003,211.600006,213.360001,196.957336,16814600
10/9/2013,211.050003,216.960007,209.210007,215.860001,199.265137,17121925
10/10/2013,215.399994,218.580002,211.199997,213.25,196.855774,22450835
10/11/2013,217.449997,220.779999,213.199997,219.929993,203.022217,21485650
10/14/2013,219,226.389999,218.440002,221.820007,204.766937,16030130
10/15/2013,223.179993,225.199997,215.25,216.289993,199.662064,13563985
10/17/2013,216.289993,221.669998,213.440002,219.270004,202.412979,33121345
10/18/2013,220.559998,232.199997,218.070007,231.240005,213.462738,22848835
10/21/2013,232.020004,237.179993,231.830002,235.169998,217.090607,14205925
10/22/2013,232.800003,241.990005,232,240.229996,221.761597,22853540
10/23/2013,240.800003,244.600006,236.639999,242.020004,223.414001,19709625
10/24/2013,242.070007,244.940002,239.600006,241.440002,222.878571,15138355
10/25/2013,240.440002,241.160004,236.160004,238.149994,219.841522,8360810
10/28/2013,240,243.779999,237.419998,238.300003,219.979965,14810540
10/29/2013,237.199997,252.300003,235.270004,250.080002,230.854355,21811705
10/30/2013,251,252,243.279999,244.380005,225.592575,13582310
10/31/2013,244.199997,245.960007,240.600006,244.539993,225.74025,15711585
11/1/2013,244.990005,247.929993,241.070007,243.779999,225.038696,14258565
11/5/2013,243.779999,251.479996,239.199997,245.399994,226.534149,17738400
11/6/2013,244.800003,247.960007,241.009995,242.600006,223.949417,11912900
11/7/2013,243.220001,245.919998,233.199997,234.259995,216.25058,12944240
11/8/2013,232.199997,232.720001,222.509995,223.839996,206.631622,13636750
11/11/2013,221,221.720001,214.559998,215.429993,198.868179,16116270
11/12/2013,216,218.479996,207.600006,209.570007,193.458679,16885065
11/13/2013,206.600006,210.580002,202.110001,206.119995,190.273911,39012215
11/14/2013,211,220.490005,211,219.419998,202.551453,22185795
11/18/2013,219.419998,228.449997,219.419998,227.970001,210.444138,14869295
11/19/2013,229.399994,229.960007,225.619995,227.009995,209.557938,15186525
11/20/2013,224.800003,231.179993,224,226.289993,208.89328,11536220
11/21/2013,223.580002,223.600006,215.740005,217.259995,200.557495,16170540
11/22/2013,220,221.270004,215.479996,216.449997,199.809769,11465075
11/25/2013,218.399994,225,218.020004,223.089996,205.939285,10727185
11/26/2013,223.800003,225.559998,221.850006,223.220001,206.059311,7324655
11/27/2013,222,226.149994,220.699997,224.169998,206.936264,8549025
11/28/2013,227.119995,228.960007,222.699997,224.050003,206.8255,10909630
11/29/2013,224.399994,231.979996,224.380005,231.190002,213.416595,9210385
12/2/2013,231.960007,239.240005,231.600006,238.149994,219.841522,8985375
12/3/2013,237.160004,240,235.210007,238.729996,220.376923,8899090
12/4/2013,237.210007,239.800003,236.240005,238.210007,219.896912,8248745
12/5/2013,246.600006,249.990005,245.570007,248.300003,229.211197,10405365
12/6/2013,247.720001,257.799988,246.449997,255.949997,236.273087,11096255
12/9/2013,268,268.519989,259.429993,260.700012,240.657928,10508465
12/10/2013,260.600006,260.600006,249.910004,252.970001,233.522202,7427500
12/11/2013,250.399994,256.76001,248.029999,254.639999,235.063797,9152360
12/12/2013,253.199997,253.860001,248.839996,249.539993,230.355865,6403500
12/13/2013,246,249.800003,244.009995,247.960007,228.897354,7975630
12/16/2013,246.410004,254.380005,245.940002,252.279999,232.885239,8426820
12/17/2013,254.229996,256.059998,249.669998,251.220001,231.906723,6818380
12/18/2013,250.020004,261,249.600006,256.570007,236.845428,10330635
12/19/2013,259.160004,259.799988,248.600006,251.399994,232.072876,11220600
12/20/2013,250,256.799988,249.949997,255.570007,235.922302,7252380
12/23/2013,256.200012,260.899994,256.200012,258.25,238.396255,5821480
12/24/2013,259.200012,259.600006,255.699997,256.589996,236.863892,5070345
12/26/2013,256.589996,263.799988,255.830002,259.410004,239.467102,13471165
